"","time","Temperature","Salinity","depth_bin","year","month"
"1",1989-01-17,4.55485747398214,32.3839962395201,50,1989,1
"2",1995-01-10,5.18929203236037,32.0466144190914,50,1995,1
"3",1996-01-17,5.07817451270259,32.3997466692633,50,1996,1
"4",1997-01-25,4.98777012277482,32.146264353516,50,1997,1
"5",1998-01-22,4.29086002543012,31.5592519974292,50,1998,1
"6",1999-01-21,4.86285486987046,32.1850353943548,50,1999,1
"7",2002-01-26,5.71287776689546,32.436950716011,50,2002,1
"8",2003-01-26,3.91305000948906,NA,50,2003,1
"9",2004-01-26,4.3668249282572,33.0181164879269,50,2004,1
"10",2005-01-30,3.53805343069632,31.9809125219928,50,2005,1
"11",2006-01-28,5.6529565658473,32.5450894954951,50,2006,1
"12",1984-02-13,4.0032524841093,32.1448309946339,50,1984,2
"13",1985-02-12,3.16646323231766,32.095054592924,50,1985,2
"14",1987-02-11,4.08187693982128,32.3941684243162,50,1987,2
"15",1995-02-17,3.43232654727235,32.0768064701314,50,1995,2
"16",1996-02-21,3.43340135512709,32.0543470447566,50,1996,2
"17",1997-02-18,3.48274442267549,31.8419228532003,50,1997,2
"18",1998-02-14,4.13177206766833,32.1469548260609,50,1998,2
"19",1999-02-14,5.19974949499087,32.3998990818693,50,1999,2
"20",2000-02-25,3.76177000522613,31.9731400871277,50,2000,2
"21",2005-02-01,4.50699999451637,32.204106172502,50,2005,2
"22",2006-02-04,7.49536299211008,33.1534252237391,50,2006,2
"23",2007-02-02,5.89550763686093,32.9653117972775,50,2007,2
"24",2008-02-08,4.59019519683751,32.7439181973783,50,2008,2
"25",2009-02-09,4.44053079608952,32.7832410578636,50,2009,2
"26",2010-02-20,5.05221305012216,32.6520528400966,50,2010,2
"27",2011-02-14,4.47027065614857,32.1032445730201,50,2011,2
"28",2012-02-09,6.28501374665812,32.6715205745455,50,2012,2
"29",2013-02-20,6.26609214827201,33.1084157210814,50,2013,2
"30",2017-02-21,5.86814256899887,32.7979026792668,50,2017,2
"31",1984-03-25,2.81572135485008,32.6042163024634,50,1984,3
"32",1985-03-21,3.15581426463014,31.8930092349647,50,1985,3
"33",1995-03-19,4.58115802529949,32.6447508372093,50,1995,3
"34",1996-03-18,4.06593333721161,32.4443066533407,50,1996,3
"35",1997-03-24,2.78226677573736,31.8093162351522,50,1997,3
"36",1998-03-23,3.76144665880443,31.8599487617304,50,1998,3
"37",1999-03-23,4.4012003627843,32.3884230669111,50,1999,3
"38",2007-03-23,2.52170000076294,31.8218500328064,50,2007,3
"39",2008-03-10,3.54270970120209,32.3843286500191,50,2008,3
"40",2012-03-13,5.44870109791929,32.2997149028154,50,2012,3
"41",2013-03-11,4.67809999684493,32.4394165873528,50,2013,3
"42",2014-03-05,3.90699929641044,32.4855373826269,50,2014,3
